Co_Ref,Prospect_Renewal_Date,Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors,crm_customer_complained,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,cc_business_struggles_financial_hardship,cc_contractor_sentiment,cc_contractor_sentiment_issues_score
GF7415,,,,,,No,No,No,No,,,
GF7415,2025-10-24,,,,,,,,,,,
GF7658,,,,,,Yes,Yes,Yes,No,,,
GF7658,2023-01-14,,,,,,,,,,,
GF7658,2024-01-14,,,,,,,,,,,
GF7658,2025-01-14,,,,,,,,,,,
GF7726,,,,,,No,No,No,No,,,
GF7726,2023-01-20,,,,,,,,,,,
GF7726,2024-01-20,,,,,,,,,,,
GF7726,2025-01-20,,,,,,,,,,,
GF7726,2026-01-20,,,,,,,,,,,
GF7775,2024-07-21,Won,No,No,No,No,No,No,No,,,
GF7928,,,,,,No,No,No,No,,,
GF7928,2023-06-18,,,,,,,,,,,
GF7928,2024-06-18,,,,,,,,,,,
GF7928,2025-06-18,,,,,,,,,,,
GF8422,2025-03-28,Won,No,unknown,No,No,No,No,No,,,
GF8545,2023-06-02,,,,,,,,,,,
GF8614,,,,,,Yes,Yes,No,No,,,
GF8664,2023-03-15,,,,,,,,,,,
GF8691,,,,,,No,No,No,No,,,
GF8691,2023-03-17,,,,,,,,,,,
GF8691,2024-03-17,,,,,,,,,,,
GF8691,2025-03-17,,,,,,,,,,,
GF8739,,,,,,No,No,No,No,,,
GF8968,2026-02-21,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GF8968,2026-02-21,Won,No,No,No,Yes,Yes,Yes,No,,,
GF8996,2023-05-24,,,,,,,,,,,
GF9134,2024-01-24,,,,,,,,,,,
GF9134,2025-01-24,,,,,,,,,,,
GF9134,2026-01-24,Won,No,No,No,No,No,No,No,,,
GF9331,2023-10-14,,,,,,,,,,,
GF9331,2024-10-14,Won,No,No,No,,,,,,,
GF9331,2025-10-14,,,,,,,,,,,
GF9446,2023-06-20,,,,,,,,,,,
GF9446,2024-06-20,,,,,,,,,,,
GF9446,2025-06-20,Won,No,Yes,No,No,No,No,No,,,
GF9937,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GF9937,,,,,,No,No,No,No,,,
GF9937,2026-01-13,,,,,,,,,No,Neutral,Not Discussed
GG0579,2024-09-25,Won,No,No,No,No,No,No,No,,,
GG0579,2025-09-25,Won,No,No,No,No,No,No,No,,,
GG0710,2024-10-23,Won,No,unknown,Yes,,,,,,,
GG0710,2025-10-23,Won,No,No,No,,,,,,,
GG1130,2023-09-12,,,,,,,,,,,
GG1130,2024-09-12,,,,,,,,,,,
GG1130,2025-09-12,,,,,,,,,,,
GG1517,2023-09-16,,,,,,,,,,,
GG1517,2024-09-16,,,,,,,,,,,
GG1517,2025-09-16,,,,,,,,,,,
GG1721,,,,,,No,No,No,No,,,
GG1805,,,,,,No,No,No,No,,,
GG1805,2023-05-17,,,,,,,,,,,
GG1805,2024-05-17,,,,,,,,,,,
GG1805,2025-05-17,,,,,,,,,,,
GG2438,,,,,,No,No,No,No,,,
GG2438,2023-04-23,,,,,,,,,,,
GG2438,2024-04-23,,,,,,,,,,,
GG2438,2025-04-23,,,,,,,,,,,
GG2468,,,,,,No,No,No,No,,,
GG2468,2023-01-18,,,,,,,,,,,
GG2468,2024-01-18,,,,,,,,,,,
GG2468,2025-01-18,,,,,,,,,,,
GG2468,2026-01-18,,,,,,,,,,,
GG2553,,,,,,No,No,No,No,,,
GG2553,2025-09-11,,,,,,,,,No,Neutral,Not Discussed
GG2587,2023-09-03,,,,,,,,,,,
GG2587,2024-09-03,,,,,,,,,,,
GG2587,2025-03-09,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GG2587,2025-03-09,Won,No,No,No,No,No,No,No,,,
GG2587,2025-09-03,,,,,,,,,,,
GG2736,2025-08-16,Won,No,No,No,No,No,No,No,,,
GG2918,2025-04-04,Churned,No,unknown,No,No,No,No,Yes,,,
GG3031,2023-08-03,,,,,,,,,,,
GG3118,,,,,,No,No,No,No,,,
GG3118,2023-04-05,,,,,,,,,,,
GG3118,2024-04-05,,,,,,,,,,,
GG3118,2025-04-05,,,,,,,,,,,
GG3394,2025-10-02,Won,No,Yes,No,No,No,No,No,,,
GG3633,2023-10-16,,,,,,,,,,,
GG3633,2024-10-16,,,,,,,,,,,
GG3633,2025-10-16,,,,,,,,,,,
GG3700,2024-11-02,Won,No,No,No,No,No,No,No,,,
GG3700,2025-11-02,Won,No,No,No,No,No,No,No,,,
GG4003,2025-04-09,,,,,,,,,,,
GG4003,2025-09-04,Won,No,No,No,No,No,No,No,,,
GG4018,2024-10-25,Won,No,No,No,,,,,,,
GG4152,,,,,,No,No,No,No,,,
GG4152,2023-01-24,,,,,,,,,,,
GG4152,2024-01-24,,,,,,,,,,,
GG4152,2025-01-24,,,,,,,,,,,
GG4152,2026-01-24,,,,,,,,,,,
GG4238,,,,,,No,No,No,No,,,
GG4238,2025-11-09,,,,,,,,,,,
GG4588,,,,,,No,No,No,No,,,
GG4588,2023-05-24,,,,,,,,,,,
GG4588,2024-05-24,,,,,,,,,,,
GG4588,2025-05-24,,,,,,,,,,,
GG4695,2023-05-06,,,,,,,,,,,
GG4695,2024-05-06,,,,,,,,,,,
GG4695,2024-06-05,Won,No,No,Yes,,,,,,,
GG4695,2025-05-06,,,,,,,,,,,
GG4767,2023-04-03,,,,,,,,,,,
GG4767,2024-04-03,,,,,,,,,,,
GG4828,2024-11-26,,,,,,,,,No,Neutral,Not Discussed
GG4974,2024-01-13,,,,,,,,,,,
GG4974,2025-01-13,,,,,,,,,,,
GG4974,2026-01-13,,,,,,,,,,,
GG5011,2023-03-23,,,,,,,,,,,
GG5011,2024-03-23,,,,,,,,,,,
GG5011,2025-03-23,,,,,,,,,,,
GG5093,2023-06-29,,,,,,,,,,,
GG5093,2024-06-29,,,,,,,,,,,
GG5123,2023-02-13,,,,,,,,,,,
GG5123,2024-02-13,,,,,,,,,,,
GG5123,2025-02-13,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GG5123,2025-02-13,Won,No,No,No,No,No,No,No,,,
GG5123,2026-02-13,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GG5123,2026-02-13,Won,No,No,No,No,No,No,No,,,
GG5306,,,,,,No,No,No,No,,,
GG5306,2023-01-31,,,,,,,,,,,
GG5306,2024-01-31,,,,,,,,,,,
GG5306,2025-01-31,,,,,,,,,,,
GG5306,2026-01-31,,,,,,,,,,,
GG5672,,,,,,No,Yes,No,No,,,
GG5672,2025-12-13,,,,,,,,,,,
GG6138,2023-06-01,,,,,,,,,,,
GG6138,2024-06-01,,,,,,,,,,,
GG6138,2025-06-01,,,,,,,,,,,
GG6138,2026-01-06,Won,No,No,No,No,No,No,No,,,
GG6138,2026-06-01,,,,,,,,,,,
GG6297,2023-01-04,,,,,,,,,,,
GG6297,2024-01-04,,,,,,,,,,,
GG6297,2025-01-04,,,,,,,,,,,
GG6297,2025-04-01,Won,No,unknown,No,No,No,No,No,,,
GG6385,2023-04-19,,,,,,,,,,,
GG6385,2024-04-19,Won,No,No,No,No,No,No,No,,,
GG6385,2025-04-19,Won,No,No,No,No,No,No,No,,,
GG6872,,,,,,No,No,No,No,,,
GG6872,2023-11-29,,,,,,,,,,,
GG6872,2024-11-29,,,,,,,,,,,
GG6872,2025-11-29,,,,,,,,,,,
GG6975,2023-03-30,,,,,,,,,,,
GG6975,2024-03-30,,,,,,,,,,,
GG6975,2025-03-30,Won,No,unknown,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GG6975,2025-03-30,Won,No,unknown,No,No,No,No,No,,,
GG7094,2026-02-10,Won,No,No,Yes,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GG7094,2026-02-10,Won,No,No,Yes,Yes,Yes,Yes,No,,,
GG7177,,,,,,No,No,No,No,,,
GG7421,2025-03-23,Won,No,No,No,No,No,No,No,,,
GG7428,2023-12-02,,,,,,,,,,,
GG7428,2024-12-02,,,,,,,,,,,
GG7428,2025-02-12,Won,No,Yes,Yes,No,Yes,Yes,Yes,,,
GG7428,2025-12-02,,,,,,,,,,,
GG7553,,,,,,No,No,No,No,,,
GG7553,2024-06-01,,,,,,,,,,,
GG7553,2025-06-01,,,,,,,,,,,
GG7553,2026-06-01,,,,,,,,,,,
GG7696,,,,,,No,No,No,No,,,
GG8050,2023-02-09,,,,,,,,,,,
GG8050,2024-02-09,,,,,,,,,,,
GG8050,2025-02-09,,,,,,,,,,,
GG8111,,,,,,No,No,No,No,,,
GG8652,,,,,,No,No,No,No,,,
GG8891,2025-04-23,Won,No,No,No,No,No,No,No,,,
GG9257,2025-07-15,,,,,,,,,,,
GG9386,,,,,,No,No,No,No,,,
GG9386,2025-05-11,,,,,,,,,No,Satisfied,90
GG9645,2026-02-11,Won,No,No,No,No,No,No,No,,,
GG9645,2026-11-02,,,,,,,,,,,
GG9962,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GG9962,,,,,,No,No,No,No,,,
GG9962,2023-02-13,,,,,,,,,,,
GG9962,2024-02-13,,,,,,,,,,,
GG9962,2025-02-13,,,,,,,,,,,
GG9962,2026-02-13,,,,,,,,,,,
GH0086,2023-06-01,,,,,,,,,,,
GH0086,2024-06-01,,,,,,,,,,,
GH0086,2025-06-01,,,,,,,,,,,
GH0086,2026-06-01,,,,,,,,,,,
GH0113,,,,,,No,No,No,No,,,
GH0141,2024-04-25,,,,,,,,,,,
GH0201,2023-03-23,,,,,,,,,,,
GH0201,2024-03-23,,,,,,,,,,,
GH0201,2025-03-23,Won,No,No,No,No,No,No,No,,,
GH0386,,,,,,Yes,Yes,No,No,,,
GH0386,2023-06-30,,,,,,,,,,,
GH0386,2024-06-30,,,,,,,,,,,
GH0386,2025-06-30,,,,,,,,,,,
GH0559,,,,,,No,No,No,No,,,
GH0559,2023-02-11,,,,,,,,,,,
GH0559,2024-02-11,,,,,,,,,,,
GH0559,2025-02-11,,,,,,,,,,,
GH0672,2023-03-14,,,,,,,,,,,
GH0672,2024-03-14,,,,,,,,,,,
GH0732,2024-06-19,,,,,,,,,,,
GH0803,,,,,,No,No,No,No,,,
GH0803,2023-04-01,,,,,,,,,,,
GH0803,2024-04-01,,,,,,,,,,,
GH0803,2025-04-01,,,,,,,,,,,
GH0803,2026-04-01,,,,,,,,,,,
GH0918,2023-02-13,,,,,,,,,,,
GH0918,2024-02-13,,,,,,,,,,,
GH0918,2025-02-13,,,,,,,,,,,
GH0918,2026-02-13,Churned,No,No,Yes,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GH0918,2026-02-13,Churned,No,No,Yes,No,Yes,No,No,,,
GH1015,2025-12-01,Won,No,No,No,No,No,No,No,,,
GH1042,2024-11-12,Won,No,Yes,No,No,No,No,No,,,
GH1042,2025-11-12,Won,No,No,No,No,No,No,No,,,
GH1157,2023-08-19,,,,,,,,,,,
GH1290,,,,,,No,No,No,No,,,
GH1290,2023-04-09,,,,,,,,,,,
GH1290,2024-04-09,,,,,,,,,,,
GH1290,2025-04-09,,,,,,,,,,,
GH1974,,,,,,No,No,No,No,,,
GH1974,2023-06-30,,,,,,,,,,,
GH1974,2024-06-30,,,,,,,,,,,
GH1974,2025-06-30,,,,,,,,,,,
GH2081,2024-11-17,,,,,,,,,,,
GH2081,2025-11-17,,,,,,,,,,,
GH2221,2023-03-01,,,,,,,,,,,
GH2221,2024-03-01,,,,,,,,,,,
GH2221,2025-01-03,Won,No,Yes,No,Yes,Yes,Yes,No,,,
GH2221,2025-03-01,,,,,,,,,,,
GH2221,2026-03-01,,,,,,,,,,,
GH2253,,,,,,No,No,No,No,,,
GH2253,2026-07-01,,,,,,,,,No,Neutral,Not Discussed
GH2830,2023-07-29,,,,,,,,,,,
GH2830,2024-07-29,Churned,No,No,No,,,,,,,
GH3273,2023-09-06,,,,,,,,,,,
GH3293,2023-05-25,,,,,,,,,,,
GH3293,2024-05-25,Won,No,No,No,No,No,No,No,,,
GH3293,2025-05-25,Churned,No,No,No,No,No,No,No,,,
GH3410,2023-07-08,,,,,,,,,,,
GH3410,2024-07-08,,,,,,,,,,,
GH3410,2025-07-08,,,,,,,,,,,
GH3483,2023-04-01,,,,,,,,,,,
GH3483,2024-04-01,,,,,,,,,,,
GH3483,2025-04-01,,,,,,,,,,,
GH3483,2026-01-04,Won,No,No,No,No,No,No,No,,,
GH3483,2026-04-01,,,,,,,,,,,
GH3619,2024-08-13,Won,No,No,No,No,No,No,No,,,
GH3671,2024-05-14,Won,No,No,No,No,No,No,No,,,
GH3671,2025-05-14,Won,No,No,No,No,No,No,No,,,
GH3772,2025-04-26,Won,No,unknown,No,No,No,No,No,,,
GH3792,2026-02-11,Won,No,No,No,No,No,No,No,,,
GH3792,2026-11-02,,,,,,,,,,,
GH4264,,,,,,No,No,No,No,,,
GH4264,2023-03-19,,,,,,,,,,,
GH4264,2024-03-19,,,,,,,,,,,
GH4264,2025-03-19,,,,,,,,,,,
GH4719,2023-12-16,,,,,,,,,,,
GH4719,2024-12-16,,,,,,,,,,,
GH4719,2025-12-16,,,,,,,,,,,
GH4742,2023-02-14,,,,,,,,,,,
GH4742,2024-02-14,,,,,,,,,,,
GH4866,2023-02-26,,,,,,,,,,,
GH4866,2024-02-26,,,,,,,,,,,
GH4866,2025-02-26,,,,,,,,,,,
GH4866,2026-02-26,,,,,,,,,,,
GH4984,2025-04-27,Won,No,No,No,No,No,No,No,,,
GH5105,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GH5105,,,,,,No,No,No,No,,,
GH5105,2025-12-02,,,,,,,,,No,Not Discussed,Not Discussed
GH5205,,,,,,No,No,No,No,,,
GH5220,2024-04-19,Churned,No,No,No,,,,,,,
GH5459,2023-02-23,,,,,,,,,,,
GH5459,2024-02-23,,,,,,,,,,,
GH5459,2025-02-23,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GH5459,2025-02-23,Won,No,No,No,No,No,No,No,,,
GH5459,2026-02-23,,,,,,,,,,,
GH5480,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GH5480,,,,,,No,No,No,No,,,
GH5480,2023-02-26,,,,,,,,,,,
GH5480,2024-02-26,,,,,,,,,,,
GH5480,2025-02-26,,,,,,,,,,,
GH5480,2026-02-26,,,,,,,,,,,
GH5794,2024-08-08,Won,No,No,No,No,No,No,No,,,
GH5966,2023-03-14,,,,,,,,,,,
GH5966,2024-03-14,,,,,,,,,,,
GH5966,2025-03-14,Won,No,No,No,No,No,No,No,,,
GH5966,2026-03-14,,,,,,,,,,,
GH6372,,,,,,No,Yes,No,No,,,
GH6372,2025-04-11,,,,,,,,,,,
GH6600,2025-02-22,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,Satisfied,90
GH6600,2025-02-22,Won,No,No,No,No,Yes,Yes,No,No,Satisfied,90
GH6654,,,,,,No,No,No,No,,,
GH6654,2023-12-14,,,,,,,,,,,
GH6654,2024-12-14,,,,,,,,,,,
GH6654,2025-12-14,,,,,,,,,,,
GH6778,,,,,,No,No,No,No,,,
GH6856,2025-01-19,Won,No,No,No,No,No,No,No,,,
GH6856,2026-01-19,,,,,,,,,,,
GH6967,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GH6967,,,,,,No,No,No,No,,,
GH6967,2025-02-27,,,,,,,,,,,
GH6967,2026-02-27,,,,,,,,,,,
GH7017,2025-06-13,Won,No,No,No,No,No,No,No,,,
GH7256,,,,,,No,No,No,No,,,
GH7377,,,,,,No,No,No,No,,,
GH7400,2024-09-10,,,,,,,,,,,
GH7400,2024-10-09,Won,No,No,No,No,Yes,No,Yes,,,
GH7400,2025-09-10,,,,,,,,,,,
GH7403,,,,,,No,No,No,No,,,
GH7569,,,,,,No,No,No,No,,,
GH7734,2023-05-11,,,,,,,,,,,
GH7734,2024-05-11,,,,,,,,,,,
GH7734,2025-05-11,,,,,,,,,,,
GH7734,2025-11-05,Won,No,No,No,No,No,No,No,,,
GH8088,2023-02-15,,,,,,,,,,,
GH8126,2023-01-11,,,,,,,,,,,
GH8126,2024-01-11,,,,,,,,,,,
GH8126,2024-11-01,Won,No,No,No,No,No,No,No,,,
GH8126,2025-01-11,,,,,,,,,,,
GH8314,2023-02-05,,,,,,,,,,,
GH8314,2024-02-05,,,,,,,,,,,
GH8314,2025-02-05,,,,,,,,,,,
GH8314,2025-05-02,Won,No,No,No,No,No,No,No,,,
GH8566,2023-02-16,,,,,,,,,,,
GH8605,,,,,,No,No,No,No,,,
GH8605,2023-10-15,,,,,,,,,,,
GH8605,2024-10-15,,,,,,,,,,,
GH8605,2025-10-15,,,,,,,,,,,
GH8613,2024-06-01,,,,,,,,,,,
GH8613,2025-06-01,,,,,,,,,,,
GH8613,2026-06-01,,,,,,,,,,,
GH8672,2023-05-20,,,,,,,,,,,
GH8672,2024-05-20,,,,,,,,,,,
GH8672,2025-05-20,,,,,,,,,,,
GH8796,,,,,,No,No,No,No,,,
GH8796,2024-01-06,,,,,,,,,,,
GH8796,2025-01-06,,,,,,,,,,,
GH8954,,,,,,No,No,No,No,,,
GH8954,2026-01-21,,,,,,,,,,,
GH9160,,,,,,No,No,No,No,,,
GH9168,,,,,,No,No,No,No,,,
GH9168,2023-11-27,,,,,,,,,,,
GH9168,2024-11-27,,,,,,,,,,,
GH9168,2025-11-27,,,,,,,,,,,
GH9283,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GH9283,,,,,,No,No,No,No,,,
GH9283,2023-02-15,,,,,,,,,,,
GH9283,2024-02-15,,,,,,,,,,,
GH9283,2025-02-15,,,,,,,,,,,
GH9283,2026-02-15,,,,,,,,,,,
GH9301,2023-04-25,,,,,,,,,,,
GH9301,2024-04-25,,,,,,,,,,,
GH9436,,,,,,No,No,No,No,,,
GH9436,2024-08-14,,,,,,,,,,,
GH9436,2025-08-14,,,,,,,,,,,
GH9479,2023-09-12,,,,,,,,,,,
GH9479,2024-09-12,,,,,,,,,,,
GH9538,2023-04-25,,,,,,,,,,,
GH9538,2024-04-25,,,,,,,,,,,
GH9538,2025-04-25,,,,,,,,,,,
GH9538,2026-04-25,,,,,,,,,,,
GI0142,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI0142,,,,,,No,No,No,No,,,
GI0142,2025-02-21,,,,,,,,,,,
GI0142,2026-02-21,,,,,,,,,,,
GI0257,2024-03-03,,,,,,,,,,,
GI0257,2025-03-03,,,,,,,,,,,
GI0257,2026-03-03,Won,No,Yes,No,No,No,No,No,,,
GI0478,2023-01-09,,,,,,,,,,,
GI0478,2024-01-09,,,,,,,,,,,
GI0543,,,,,,No,No,No,No,,,
GI0578,,,,,,No,No,No,No,,,
GI0578,2023-01-03,,,,,,,,,,,
GI0578,2024-01-03,,,,,,,,,,,
GI0578,2025-01-03,,,,,,,,,,,
GI0578,2026-01-03,,,,,,,,,,,
GI0707,2023-02-28,,,,,,,,,,,
GI0717,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI0717,,,,,,No,Yes,No,No,,,
GI0717,2025-02-15,,,,,,,,,No,Satisfied,Not Discussed
GI0813,2025-11-22,Won,No,No,No,No,Yes,No,No,,,
GI0841,,,,,,No,No,No,No,,,
GI0841,2023-11-17,,,,,,,,,,,
GI0841,2024-11-17,,,,,,,,,,,
GI0841,2025-11-17,,,,,,,,,,,
GI0903,2025-09-25,Won,No,No,No,,,,,,,
GI1105,2023-02-18,,,,,,,,,,,
GI1198,,,,,,No,No,No,No,,,
GI1198,2024-02-06,,,,,,,,,,,
GI1198,2025-02-06,,,,,,,,,,,
GI1390,2025-06-04,Churned,Yes,No,No,No,Yes,No,Yes,,,
GI1434,,,,,,No,No,No,No,,,
GI1434,2023-10-04,,,,,,,,,,,
GI1434,2024-10-04,,,,,,,,,,,
GI1434,2025-10-04,,,,,,,,,,,
GI1531,2024-08-18,,,,,,,,,,,
GI1531,2025-08-18,,,,,,,,,,,
GI1870,2023-01-07,,,,,,,,,,,
GI1870,2024-01-07,,,,,,,,,,,
GI1870,2025-01-07,,,,,,,,,,,
GI1870,2025-07-01,Won,No,No,No,No,No,No,No,,,
GI2036,,,,,,No,No,No,No,,,
GI2036,2025-05-30,,,,,,,,,No,Satisfied,Not Discussed
GI2581,2023-07-14,,,,,,,,,,,
GI2737,2025-06-26,Won,No,No,No,No,No,No,No,No,Satisfied,90
GI2749,,,,,,Yes,Yes,Yes,No,,,
GI2749,2026-02-26,,,,,,,,,,,
GI2753,,,,,,No,No,No,No,,,
GI2753,2026-02-14,,,,,,,,,No,Neutral,80
GI2907,,,,,,No,No,No,No,,,
GI2907,2024-11-05,,,,,,,,,,,
GI2907,2025-11-05,,,,,,,,,,,
GI3012,2025-04-19,Won,No,unknown,No,No,No,No,No,,,
GI3036,2023-06-15,,,,,,,,,,,
GI3036,2024-06-15,Won,No,No,No,,,,,,,
GI3036,2025-06-15,,,,,,,,,,,
GI3231,2023-01-23,,,,,,,,,,,
GI3231,2024-01-23,,,,,,,,,,,
GI3231,2025-01-23,,,,,,,,,,,
GI3231,2026-01-23,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI3231,2026-01-23,Won,No,No,No,No,No,No,No,,,
GI3231,2026-01-23,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI3231,2026-01-23,Won,No,No,No,No,No,No,No,,,
GI3246,2023-01-21,,,,,,,,,,,
GI3351,2023-08-21,,,,,,,,,,,
GI3351,2024-08-21,,,,,,,,,,,
GI3351,2025-08-21,,,,,,,,,,,
GI3470,,,,,,No,No,No,No,,,
GI3470,2023-04-02,,,,,,,,,,,
GI3470,2024-04-02,,,,,,,,,,,
GI3470,2025-04-02,,,,,,,,,,,
GI3470,2026-04-02,,,,,,,,,,,
GI3709,2023-01-17,,,,,,,,,,,
GI3709,2024-01-17,,,,,,,,,,,
GI3709,2025-01-17,Won,Yes,No,No,No,No,No,No,,,
GI3709,2026-01-17,,,,,,,,,,,
GI3747,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI3747,,,,,,No,No,No,No,,,
GI3747,2025-02-27,,,,,,,,,,,
GI3747,2026-02-27,,,,,,,,,,,
GI3851,2023-01-26,,,,,,,,,,,
GI3851,2024-01-26,,,,,,,,,,,
GI3851,2025-01-26,,,,,,,,,,,
GI3851,2026-01-26,Won,No,No,No,No,No,No,No,,,
GI4187,,,,,,No,No,Yes,No,,,
GI4331,2025-09-16,Won,No,No,No,No,No,No,No,No,Neutral,Not Discussed
GI4549,2023-01-26,,,,,,,,,,,
GI4549,2024-01-26,,,,,,,,,,,
GI4549,2025-01-26,Won,No,Yes,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI4549,2025-01-26,Won,No,Yes,No,No,No,No,No,,,
GI4549,2026-01-26,,,,,,,,,,,
GI4583,2023-04-14,,,,,,,,,,,
GI4904,,,,,,No,No,No,No,,,
GI4904,2025-03-25,,,,,,,,,No,Satisfied,Not Discussed
GI5082,2023-01-28,,,,,,,,,,,
GI5082,2024-01-28,,,,,,,,,,,
GI5082,2025-01-28,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI5082,2025-01-28,Won,No,No,No,No,No,No,No,,,
GI5082,2026-01-28,,,,,,,,,,,
GI5143,2023-12-17,,,,,,,,,,,
GI5143,2024-12-17,,,,,,,,,,,
GI5662,2023-05-26,,,,,,,,,,,
GI5662,2024-05-26,Won,No,No,No,,,,,,,
GI5662,2025-05-26,,,,,,,,,,,
GI5689,,,,,,No,No,No,No,,,
GI5689,2023-11-24,,,,,,,,,,,
GI5689,2024-11-24,,,,,,,,,,,
GI5689,2025-11-24,,,,,,,,,,,
GI5736,,,,,,No,No,No,No,,,
GI5736,2023-02-16,,,,,,,,,,,
GI5736,2024-02-16,,,,,,,,,,,
GI5736,2025-02-16,,,,,,,,,,,
GI5736,2026-02-16,,,,,,,,,,,
GI6019,2023-06-27,,,,,,,,,,,
GI6019,2024-06-27,,,,,,,,,,,
GI6019,2025-06-27,,,,,,,,,,,
GI6149,2025-01-18,Won,No,No,No,No,No,No,Yes,,,
GI6149,2026-01-18,,,,,,,,,,,
GI6460,2025-10-25,Won,No,No,No,No,No,No,No,,,
GI6520,2025-05-23,Won,No,No,No,No,No,No,No,,,
GI6596,2023-02-26,,,,,,,,,,,
GI6596,2024-02-26,,,,,,,,,,,
GI6816,2023-06-30,,,,,,,,,,,
GI6816,2024-06-30,Won,No,No,No,No,No,No,No,,,
GI6816,2025-06-30,Won,No,No,No,No,No,No,No,,,
GI6884,,,,,,No,Yes,Yes,No,,,
GI6884,2025-10-10,,,,,,,,,,,
GI6968,,,,,,No,No,No,No,,,
GI6968,2025-06-02,,,,,,,,,,,
GI6968,2026-06-02,,,,,,,,,,,
GI7051,2025-04-29,Won,No,No,No,No,No,No,No,,,
GI7199,2023-07-20,,,,,,,,,,,
GI7382,2024-11-18,,,,,,,,,No,Neutral,Not Discussed
GI7382,2025-11-18,Won,No,No,No,No,No,No,No,,,
GI7674,,,,,,No,No,No,No,,,
GI7674,2025-02-07,,,,,,,,,No,Satisfied,Not Discussed
GI7720,2024-01-06,,,,,,,,,,,
GI7781,,,,,,No,No,No,No,,,
GI8365,2023-02-20,,,,,,,,,,,
GI8489,2024-08-29,Won,No,No,No,No,No,No,No,,,
GI8489,2025-08-29,Churned,No,No,No,No,No,No,No,No,Satisfied,Not Discussed
GI8507,2024-11-17,Churned,unknown,Yes,No,,,,,,,
GI8776,2023-02-02,,,,,,,,,,,
GI8776,2024-02-02,,,,,,,,,,,
GI9321,2023-02-16,,,,,,,,,,,
GI9321,2024-02-16,,,,,,,,,,,
GI9321,2025-02-16,,,,,,,,,,,
GI9321,2026-02-16,Won,No,No,No,No,No,No,No,,,
GI9322,2025-03-23,Churned,No,No,No,No,No,No,Yes,No,Neutral,Not Discussed
GI9560,2023-02-22,,,,,,,,,,,
GI9560,2024-02-22,,,,,,,,,,,
GI9560,2025-02-22,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI9560,2025-02-22,Won,No,No,No,No,No,No,No,,,
GI9560,2026-02-22,Won,No,No,Yes,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
GI9560,2026-02-22,Won,No,No,Yes,No,No,No,No,,,
GI9690,2023-02-11,,,,,,,,,,,
GI9690,2024-02-11,,,,,,,,,,,
GI9923,2025-10-01,,,,,,,,,No,Satisfied,90
GI9923,2026-01-10,Won,No,No,No,No,No,No,No,,,
GI9923,2026-10-01,,,,,,,,,Yes,Satisfied,90
GJ0030,2024-03-16,,,,,,,,,,,
GJ0030,2025-05-08,,,,,,,,,,,
GJ0323,2023-11-25,,,,,,,,,,,
GJ0323,2024-11-25,,,,,,,,,,,
GJ0323,2025-11-25,Won,No,No,No,No,No,No,No,,,
GJ0577,,,,,,No,No,No,No,,,
GJ0577,2025-04-27,,,,,,,,,,,
GJ0944,2024-02-05,,,,,,,,,,,
GJ0944,2024-05-02,Won,No,No,No,No,No,No,No,,,
GJ0944,2025-02-05,,,,,,,,,,,
GJ0944,2025-05-02,Won,No,No,No,No,No,No,No,,,
GJ0993,2025-04-10,Churned,No,unknown,No,No,No,No,No,,,
GJ0993,2025-10-04,,,,,,,,,No,Satisfied,Not Discussed
GJ1099,2023-05-18,,,,,,,,,,,
GJ1099,2024-05-18,,,,,,,,,,,
GJ1099,2025-05-18,,,,,,,,,,,
