Co_Ref,Prospect_Renewal_Date,cc_business_struggles_financial_hardship,cc_contractor_sentiment,cc_contractor_sentiment_issues_score
NF5616,06-08-2025,No,Neutral,Not Discussed
EG2053,08-07-2025,No,Neutral,Not Discussed
PR5428,18-07-2025,No,Satisfied,Not Discussed
WX5660,09-07-2025,No,Neutral,Not Discussed
TR3865,07-08-2025,No,Neutral,Not Discussed
NB0134,22-07-2025,No,Neutral,Not Discussed
BA8131,07-07-2025,No,Neutral,Not Discussed
BF2594,18-07-2025,No,Neutral,Not Discussed
JR2248,18-07-2025,Yes,Dissatisfied,20
SG6300,17-07-2025,No,Satisfied,90
NX2228,05-07-2025,No,Satisfied,Not Discussed
DC1748,04-07-2025,No,Satisfied,85
IT6043,22-07-2025,No,Neutral,Not Discussed
RA9723,09-07-2025,No,Not Discussed,Not Discussed
EF4654,02-08-2025,No,Satisfied,Not Discussed
LE1460,25-07-2025,No,Satisfied,Not Discussed
LT7570,09-07-2025,No,Satisfied,90
LR3370,02-08-2025,No,Neutral,60
MV0810,24-07-2025,Yes,Neutral,50
SM6103,18-07-2025,No,Satisfied,90
YX8715,19-07-2025,No,Satisfied,Not Discussed
TB6662,06-07-2025,No,Satisfied,Not Discussed
JX3391,02-08-2025,No,Satisfied,Not Discussed
OM4356,05-07-2025,No,Neutral,Not Discussed
HA8934,07-07-2025,No,Satisfied,90
KM3272,25-07-2025,No,Neutral,80
VZ1921,29-07-2025,No,Satisfied,90
PF9619,07-07-2025,No,Satisfied,85
IT6420,28-07-2025,No,Satisfied,Not Discussed
GJ7208,14-07-2025,No,Satisfied,80
NE1746,04-07-2025,No,Neutral,Not Discussed
QJ0243,16-07-2025,No,Satisfied,Not Discussed
HZ7517,08-07-2025,No,Neutral,Not Discussed
FN6018,08-07-2025,No,Neutral,Not Discussed
YU9893,31-07-2025,No,Neutral,80
XE8403,21-07-2025,No,Neutral,Not Discussed
FG2764,05-07-2025,Yes,Satisfied,90
CP6013,19-07-2025,No,Satisfied,Not Discussed
VN6564,24-07-2025,No,Neutral,80
EV4803,11-07-2025,No,Satisfied,90
AP2580,12-07-2025,No,Satisfied,Not Discussed
PH6721,13-07-2025,No,Dissatisfied,20
WW7781,15-07-2025,No,Satisfied,Not Discussed
LO4727,01-07-2025,No,Neutral,Not Discussed
OV9000,15-07-2025,No,Satisfied,90
IN4202,02-07-2025,No,Satisfied,90
LV9226,03-07-2025,No,Satisfied,90
UP4657,01-07-2025,No,Neutral,Not Discussed
KF5044,17-07-2025,No,Satisfied,80
HT6894,04-07-2025,No,Neutral,Not Discussed
DX8445,07-07-2025,No,Satisfied,Not Discussed
AP7473,12-07-2025,Yes,Dissatisfied,40
LK3350,23-07-2025,Unknown,Satisfied,Not Discussed
GQ6584,27-07-2025,No,Satisfied,Not Discussed
AY4240,13-07-2025,No,Neutral,70
BC3197,13-07-2025,No,Satisfied,90
TI1350,10-07-2025,No,Neutral,Not Discussed
IK6345,02-07-2025,No,Satisfied,Not Discussed
BO4064,06-07-2025,No,Satisfied,Not Discussed
FV1872,30-06-2025,No,Satisfied,90
PE0915,14-07-2025,No,Neutral,Not Discussed
EZ9903,31-07-2025,No,Satisfied,90
NO4400,03-07-2025,No,Neutral,Not Discussed
PD0461,06-07-2025,No,Neutral,Not Discussed
CH3643,08-07-2025,No,Neutral,Not Discussed
UW2118,03-07-2025,No,Satisfied,Not Discussed
LX9101,05-07-2025,Yes,Satisfied,Not Discussed
GR8083,05-07-2025,No,Not Discussed,Not Discussed
EV9735,25-07-2025,No,Neutral,Not Discussed
OW9191,06-07-2025,No,Neutral,Not Discussed
BM0523,17-07-2025,No,Neutral,Not Discussed
GS9872,27-06-2025,Yes,Neutral,80
VW6562,28-06-2025,No,Neutral,Not Discussed
FE2091,09-07-2025,No,Satisfied,90
KS5651,14-07-2025,No,Satisfied,Not Discussed
YY6596,08-07-2025,No,Dissatisfied,40
CZ1608,26-07-2025,No,Not Discussed,Not Discussed
TF9964,18-07-2025,No,Satisfied,85
UM0537,15-07-2025,No,Neutral,Not Discussed
ZS1839,13-07-2025,No,Satisfied,90
RL0581,22-07-2025,No,Satisfied,Not Discussed
PM8236,27-06-2025,No,Satisfied,Not Discussed
QP2916,22-07-2025,No,Satisfied,80
GK4939,29-06-2025,No,Dissatisfied,60
EX1958,09-07-2025,No,Satisfied,Not Discussed
JA5776,26-07-2025,No,Satisfied,90
FB1625,25-07-2025,No,Not Discussed,Not Discussed
JX4660,17-07-2025,No,Not Discussed,Not Discussed
EG0438,26-06-2025,No,Not Discussed,Not Discussed
JF6047,11-07-2025,No,Satisfied,Not Discussed
MX2088,27-06-2025,Yes,Neutral,40
QK6973,19-07-2025,No,Neutral,Not Discussed
TA4653,18-07-2025,No,Satisfied,90
BB6458,25-07-2025,No,Satisfied,Not Discussed
RI4480,22-07-2025,No,Neutral,Not Discussed
EO7643,30-06-2025,No,Not Discussed,Not Discussed
ET6117,14-07-2025,No,Dissatisfied,80
SQ2743,22-07-2025,No,Neutral,Not Discussed
KQ8921,12-07-2025,No,Satisfied,90
LL9241,10-07-2025,No,Satisfied,Not Discussed
GB3909,16-07-2025,No,Satisfied,Not Discussed
TI6704,10-07-2025,No,Neutral,Not Discussed
RT2700,11-07-2025,No,Neutral,80
JG2534,07-07-2025,No,Neutral,Not Discussed
QB9499,24-06-2025,No,Neutral,Not Discussed
MN8871,22-07-2025,No,Neutral,Not Discussed
CT5739,16-07-2025,Yes,Satisfied,80
YP8792,19-07-2025,No,Satisfied,Not Discussed
SI5438,28-06-2025,No,Satisfied,Not Discussed
IQ5856,01-07-2025,No,Satisfied,90
MU9457,18-07-2025,No,Satisfied,80
QJ2773,06-07-2025,No,Satisfied,Not Discussed
PX3602,22-07-2025,No,Neutral,80
GW0348,22-07-2025,No,Neutral,Not Discussed
SC9562,05-07-2025,No,Neutral,Not Discussed
HH9958,19-07-2025,No,Neutral,Not Discussed
GW2435,08-07-2025,No,Satisfied,Not Discussed
EM1407,27-06-2025,No,Not Discussed,Not Discussed
JA8166,23-06-2025,No,Satisfied,90
PH8022,06-07-2025,No,Not Discussed,Not Discussed
QE6251,23-06-2025,No,Satisfied,Not Discussed
SG9261,26-06-2025,No,Satisfied,90
OK6546,19-07-2025,No,Not Discussed,Not Discussed
AT9943,12-07-2025,No,Not Discussed,Not Discussed
RC5497,09-07-2025,No,Neutral,Not Discussed
DG6768,24-06-2025,No,Neutral,Not Discussed
CJ5186,24-06-2025,No,Neutral,Not Discussed
HC3991,01-07-2025,No,Neutral,Not Discussed
BB3890,23-06-2025,No,Satisfied,Not Discussed
RZ8292,23-07-2025,No,Neutral,Not Discussed
XT8135,30-06-2025,No,Satisfied,90
DA6994,27-06-2025,No,Neutral,Not Discussed
LL8285,30-06-2025,No,Satisfied,90
OF3727,11-07-2025,No,Neutral,Not Discussed
XA9570,29-06-2025,No,Satisfied,90
KU7878,17-07-2025,No,Neutral,Not Discussed
WB0981,21-07-2025,No,Satisfied,80
UO2563,05-07-2025,No,Neutral,80
NQ0243,16-07-2025,Yes,Neutral,80
CE4864,30-06-2025,No,Neutral,70
MZ5610,05-07-2025,No,Satisfied,80
DM1614,29-06-2025,No,Neutral,Not Discussed
PT2686,21-06-2025,No,Neutral,Not Discussed
MW0370,27-06-2025,No,Neutral,Not Discussed
IB7915,20-06-2025,No,Satisfied,Not Discussed
EJ9597,07-07-2025,No,Neutral,Not Discussed
ON6382,03-07-2025,No,Satisfied,Not Discussed
RA5401,04-07-2025,No,Satisfied,Not Discussed
MZ6837,10-07-2025,No,Satisfied,85
MF7392,06-07-2025,No,Satisfied,Not Discussed
YX3201,08-07-2025,No,Satisfied,80
YW6600,06-07-2025,No,Neutral,Not Discussed
IN5503,03-07-2025,Yes,Neutral,80
QA6584,19-06-2025,Yes,Satisfied,90
DT5359,22-06-2025,No,Neutral,Not Discussed
XL0961,24-06-2025,No,Satisfied,Not Discussed
DB3983,02-07-2025,No,Neutral,Not Discussed
IB7676,02-07-2025,No,Neutral,80
UX4627,27-06-2025,No,Satisfied,80
CD2698,02-07-2025,No,Satisfied,Not Discussed
UE0789,04-07-2025,No,Neutral,Not Discussed
TU7282,27-06-2025,No,Neutral,Not Discussed
TK2767,15-07-2025,No,Satisfied,Not Discussed
DS6052,27-06-2025,No,Satisfied,90
DG5697,23-06-2025,No,Neutral,80
NZ6845,09-07-2025,No,Neutral,Not Discussed
YS2639,10-07-2025,No,Satisfied,90
EE7901,11-07-2025,No,Neutral,Not Discussed
SG1750,27-06-2025,No,Neutral,Not Discussed
OJ6149,08-07-2025,No,Neutral,Not Discussed
IS3781,11-07-2025,No,Neutral,Not Discussed
UU5635,28-06-2025,No,Neutral,Not Discussed
RT5168,01-07-2025,No,Dissatisfied,20
QV7621,02-07-2025,No,Satisfied,90
AZ5234,28-06-2025,No,Neutral,Not Discussed
RD0528,08-07-2025,No,Satisfied,Not Discussed
UI8111,21-06-2025,No,Satisfied,Not Discussed
AK2292,01-07-2025,No,Satisfied,90
EI3406,30-06-2025,No,Neutral,Not Discussed
FD4331,24-06-2025,No,Neutral,Not Discussed
ZY9171,06-07-2025,No,Neutral,Not Discussed
OA1625,10-07-2025,No,Satisfied,Not Discussed
XG4062,13-07-2025,No,Neutral,Not Discussed
NN9257,09-07-2025,No,Neutral,Not Discussed
PZ5590,17-06-2025,No,Satisfied,Not Discussed
NZ2667,17-06-2025,No,Neutral,Not Discussed
IJ7741,24-06-2025,No,Neutral,Not Discussed
HK4773,13-07-2025,No,Neutral,Not Discussed
NV6454,02-07-2025,No,Satisfied,Not Discussed
RW3085,22-06-2025,No,Dissatisfied,60
IN1440,02-07-2025,No,Neutral,Not Discussed
BE7336,14-07-2025,No,Neutral,Not Discussed
PC9027,22-06-2025,No,Satisfied,85
NT2793,26-06-2025,No,Satisfied,80
NY0239,18-06-2025,No,Not Discussed,Not Discussed
NE2961,21-06-2025,No,Neutral,Not Discussed
NT7334,27-06-2025,No,Satisfied,80
ED1413,14-06-2025,No,Neutral,90
BC4222,02-07-2025,No,Satisfied,Not Discussed
KH1721,04-07-2025,No,Not Discussed,Not Discussed
HS7369,09-07-2025,No,Satisfied,Not Discussed
GM4400,29-06-2025,Yes,Neutral,40
YJ1942,25-06-2025,Yes,Dissatisfied,20
SC7141,13-06-2025,No,Neutral,Not Discussed
CP1251,20-06-2025,No,Neutral,Not Discussed
YV6686,07-07-2025,No,Satisfied,90
OC9136,18-06-2025,No,Neutral,Not Discussed
ND7200,14-06-2025,No,Neutral,Not Discussed
IL9620,17-06-2025,No,Satisfied,90
YW9329,23-06-2025,No,Satisfied,90
BX2236,23-06-2025,No,Neutral,Not Discussed
RP6966,26-06-2025,No,Satisfied,90
FF7115,10-07-2025,No,Neutral,70
ZU1343,13-07-2025,No,Neutral,Not Discussed
FP0957,01-07-2025,No,Neutral,Not Discussed
OM1765,04-07-2025,No,Satisfied,Not Discussed
SI7430,12-06-2025,No,Neutral,Not Discussed
CP1920,12-07-2025,No,Satisfied,Not Discussed
HR3977,11-06-2025,No,Satisfied,Not Discussed
LJ3323,13-06-2025,Yes,Satisfied,60
YV1318,01-07-2025,No,Neutral,80
KS7267,07-07-2025,No,Satisfied,Not Discussed
DE6252,20-06-2025,No,Satisfied,Not Discussed
LY9982,20-06-2025,No,Satisfied,Not Discussed
VE5944,08-07-2025,No,Satisfied,Not Discussed
RE1356,05-07-2025,No,Satisfied,Not Discussed
GI7674,02-07-2025,No,Satisfied,Not Discussed
IJ7157,25-06-2025,No,Satisfied,Not Discussed
IQ3121,06-07-2025,No,Satisfied,Not Discussed
BZ7789,01-07-2025,No,Satisfied,Not Discussed
FW9706,24-06-2025,No,Dissatisfied,40
LZ2966,19-06-2025,No,Satisfied,80
JB9276,16-06-2025,No,Satisfied,Not Discussed
CU7848,11-06-2025,Yes,Neutral,80
RR7264,22-06-2025,No,Satisfied,Not Discussed
RD3623,10-07-2025,No,Satisfied,Not Discussed
HJ5691,17-06-2025,No,Satisfied,Not Discussed
JZ8979,14-06-2025,No,Neutral,80
DG4976,20-06-2025,No,Neutral,80
CT1025,27-06-2025,No,Dissatisfied,60
IG9061,20-06-2025,No,Neutral,70
PN1558,26-06-2025,No,Satisfied,Not Discussed
GD8407,26-06-2025,No,Satisfied,90
HC0241,10-06-2025,No,Satisfied,80
TJ9660,05-07-2025,No,Neutral,Not Discussed
YN3182,02-07-2025,No,Not Discussed,Not Discussed
TX3685,04-07-2025,No,Not Discussed,Not Discussed
IG6671,17-06-2025,No,Satisfied,Not Discussed
DD9699,09-06-2025,No,Neutral,Not Discussed
IR4956,07-06-2025,No,Neutral,Not Discussed
IP9598,06-06-2025,No,Satisfied,80
UA7857,09-06-2025,No,Not Discussed,Not Discussed
RS4699,16-06-2025,No,Neutral,Not Discussed
HA2959,02-07-2025,No,Dissatisfied,60
VK6036,02-07-2025,No,Neutral,80
NW1380,08-06-2025,No,Satisfied,Not Discussed
EZ9894,29-06-2025,No,Neutral,70
JC5135,18-06-2025,No,Satisfied,Not Discussed
NO2125,08-06-2025,No,Satisfied,90
EE1990,13-06-2025,No,Neutral,50
JR3171,15-06-2025,No,Satisfied,Not Discussed
TS2221,08-06-2025,No,Satisfied,80
ZL7978,17-06-2025,No,Satisfied,80
CW9371,01-07-2025,No,Neutral,80
QZ9165,16-06-2025,No,Neutral,Not Discussed
BK8272,05-06-2025,No,Satisfied,Not Discussed
AO2019,20-06-2025,No,Satisfied,Not Discussed
LH3651,26-06-2025,No,Neutral,Not Discussed
IS4038,17-06-2025,No,Neutral,Not Discussed
WB1555,08-06-2025,Yes,Neutral,80
ZF9346,11-06-2025,No,Satisfied,Not Discussed
PF1858,11-06-2025,No,Satisfied,Not Discussed
PZ0102,24-06-2025,No,Satisfied,90
IY5003,28-06-2025,No,Neutral,Not Discussed
QD7622,25-06-2025,No,Satisfied,Not Discussed
NS0126,20-06-2025,No,Satisfied,90
UI9218,20-06-2025,No,Satisfied,Not Discussed
CP5759,03-07-2025,No,Satisfied,90
LB4446,12-06-2025,No,Satisfied,90
XV2939,09-06-2025,No,Satisfied,Not Discussed
MX0594,17-06-2025,No,Satisfied,90
VM1891,15-06-2025,No,Neutral,Not Discussed
PP9882,17-06-2025,No,Neutral,Not Discussed
YD1121,13-06-2025,No,Satisfied,Not Discussed
PK8267,12-06-2025,No,Not Discussed,Not Discussed
NT4965,14-06-2025,No,Satisfied,Not Discussed
CT9062,11-06-2025,No,Satisfied,80
CQ4797,26-06-2025,No,Neutral,Not Discussed
OQ6305,19-06-2025,No,Not Discussed,Not Discussed
SX8009,12-06-2025,No,Satisfied,Not Discussed
VI1013,20-06-2025,No,Neutral,Not Discussed
BU1263,15-06-2025,No,Neutral,Not Discussed
VK5832,16-06-2025,No,Neutral,Not Discussed
EO8648,26-06-2025,Yes,Neutral,Not Discussed
NA0070,01-07-2025,No,Satisfied,Not Discussed
ZG3459,12-06-2025,No,Satisfied,90
SC5175,28-06-2025,No,Satisfied,90
MP9357,12-06-2025,No,Satisfied,Not Discussed
UO2473,28-06-2025,No,Satisfied,Not Discussed
NJ4564,25-06-2025,No,Satisfied,90
BO4050,28-06-2025,No,Neutral,Not Discussed
IL0408,26-06-2025,No,Satisfied,90
FW0890,01-06-2025,No,Satisfied,85
CL5532,21-06-2025,No,Neutral,80
AL6603,12-06-2025,No,Neutral,50
QX3882,20-06-2025,Yes,Neutral,80
PZ2244,14-06-2025,No,Satisfied,80
MU6030,15-06-2025,No,Dissatisfied,Not Discussed
MF8029,03-06-2025,No,Neutral,80
BO5919,02-06-2025,No,Satisfied,Not Discussed
PZ4404,03-06-2025,No,Satisfied,90
MG2413,22-06-2025,No,Satisfied,80
DA1512,03-06-2025,No,Satisfied,Not Discussed
EW8488,10-06-2025,No,Neutral,Not Discussed
NZ8881,22-06-2025,No,Neutral,Not Discussed
ZX0189,12-06-2025,No,Neutral,Not Discussed
QL7997,19-06-2025,Yes,Dissatisfied,40
PD0159,23-06-2025,No,Neutral,Not Discussed
MP0482,22-06-2025,No,Neutral,Not Discussed
CM0558,05-06-2025,No,Satisfied,Not Discussed
YQ1081,16-06-2025,No,Satisfied,Not Discussed
PU9472,03-06-2025,No,Neutral,Not Discussed
IH1212,18-06-2025,No,Neutral,Not Discussed
GI2036,30-05-2025,No,Satisfied,Not Discussed
NT4112,30-05-2025,No,Satisfied,90
NR7975,20-06-2025,No,Satisfied,Not Discussed
MB3227,30-05-2025,No,Satisfied,Not Discussed
PE2650,21-06-2025,No,Satisfied,Not Discussed
UZ3080,20-06-2025,No,Neutral,70
QZ7667,31-05-2025,Yes,Neutral,Not Discussed
YG4572,31-05-2025,No,Satisfied,90
LV1371,15-06-2025,Yes,Satisfied,Not Discussed
ZQ1934,27-05-2025,No,Satisfied,90
PH1215,30-05-2025,No,Satisfied,Not Discussed
EM8692,06-06-2025,No,Neutral,60
NI8589,01-06-2025,No,Satisfied,Not Discussed
PS4846,31-05-2025,No,Neutral,80
EG0701,06-06-2025,Yes,Dissatisfied,60
IB6481,26-06-2025,No,Neutral,Not Discussed
YV7647,26-05-2025,No,Neutral,Not Discussed
GI2737,26-06-2025,No,Satisfied,90
BS7557,30-05-2025,No,Neutral,Not Discussed
GE4274,22-06-2025,No,Neutral,Not Discussed
MV1313,10-06-2025,No,Satisfied,90
KP0325,09-06-2025,No,Satisfied,90
UM1201,08-06-2025,No,Neutral,60
DG8080,31-05-2025,No,Neutral,Not Discussed
XF4428,11-06-2025,No,Satisfied,Not Discussed
EP3718,30-05-2025,No,Satisfied,Not Discussed
ID0821,11-06-2025,No,Neutral,Not Discussed
AZ1194,20-06-2025,No,Dissatisfied,80
CS8502,29-05-2025,No,Satisfied,Not Discussed
UD4730,23-05-2025,No,Satisfied,Not Discussed
OW7128,15-06-2025,No,Neutral,Not Discussed
NE6677,24-05-2025,No,Satisfied,100
JN5376,23-06-2025,No,Satisfied,90
JV3821,01-06-2025,No,Neutral,Not Discussed
SM2802,31-05-2025,No,Satisfied,Not Discussed
HU8127,30-05-2025,No,Neutral,Not Discussed
HV3323,30-05-2025,Yes,Dissatisfied,20
GS3457,08-06-2025,No,Satisfied,Not Discussed
IL9278,11-06-2025,No,Satisfied,Not Discussed
NE0858,04-06-2025,No,Neutral,Not Discussed
QB7627,23-05-2025,No,Neutral,Not Discussed
GZ8710,05-06-2025,No,Neutral,Not Discussed
AW3208,16-06-2025,No,Satisfied,Not Discussed
IC4368,09-06-2025,No,Neutral,Not Discussed
ZF4332,05-06-2025,No,Satisfied,90
SY3251,31-05-2025,No,Satisfied,Not Discussed
RY5609,06-06-2025,No,Satisfied,Not Discussed
ND4345,10-06-2025,No,Satisfied,Not Discussed
XG9294,04-06-2025,No,Satisfied,Not Discussed
ZD2120,21-05-2025,No,Neutral,Not Discussed
PW5381,07-06-2025,No,Satisfied,85
HW9159,03-06-2025,No,Satisfied,90
NF8236,29-05-2025,No,Satisfied,Not Discussed
JH9248,22-05-2025,No,Neutral,Not Discussed
XQ1754,09-06-2025,No,Neutral,60
IB1701,13-06-2025,No,Satisfied,90
PG7886,10-06-2025,No,Satisfied,Not Discussed
LZ5041,29-05-2025,No,Neutral,Not Discussed
UD0143,03-06-2025,No,Neutral,Not Discussed
QY1857,21-05-2025,No,Neutral,80
FI7239,04-06-2025,No,Satisfied,90
BC6126,13-06-2025,No,Satisfied,Not Discussed
AQ9677,06-06-2025,No,Neutral,Not Discussed
NT2207,13-06-2025,No,Neutral,Not Discussed
WK6572,04-06-2025,No,Satisfied,90
IE5979,18-06-2025,No,Satisfied,Not Discussed
EJ1063,10-06-2025,No,Neutral,Not Discussed
ZV1532,08-06-2025,No,Neutral,80
DX8252,27-05-2025,No,Satisfied,80
TB1117,18-05-2025,No,Neutral,Not Discussed
MJ4417,19-05-2025,No,Satisfied,90
PI7343,16-06-2025,No,Satisfied,90
PY3888,28-05-2025,No,Satisfied,90
HW2167,31-05-2025,No,Satisfied,Not Discussed
OR9678,12-06-2025,No,Neutral,Not Discussed
SJ8911,24-05-2025,No,Satisfied,Not Discussed
JS6023,17-05-2025,No,Dissatisfied,20
EA0712,20-05-2025,Yes,Neutral,Not Discussed
IN1945,04-06-2025,No,Neutral,80
MM1185,28-05-2025,No,Neutral,Not Discussed
PY6933,23-05-2025,No,Satisfied,90
FY5640,19-05-2025,No,Satisfied,Not Discussed
ZA7241,23-05-2025,No,Neutral,Not Discussed
GV7518,07-06-2025,No,Neutral,Not Discussed
FC3513,10-06-2025,No,Neutral,Not Discussed
FF6909,03-06-2025,No,Satisfied,Not Discussed
LN1191,18-05-2025,No,Satisfied,Not Discussed
XM4434,19-05-2025,No,Satisfied,Not Discussed
NF0827,28-05-2025,No,Satisfied,90
QI9287,24-05-2025,No,Neutral,Not Discussed
DQ6546,11-06-2025,No,Not Discussed,Not Discussed
WE7551,07-06-2025,No,Neutral,Not Discussed
HE8953,27-05-2025,No,Neutral,Not Discussed
OX1817,15-05-2025,No,Satisfied,Not Discussed
SV1095,22-05-2025,No,Neutral,Not Discussed
KY0860,16-05-2025,No,Dissatisfied,30
DZ1391,25-05-2025,No,Neutral,Not Discussed
DK8288,01-06-2025,No,Neutral,Not Discussed
QK7619,31-05-2025,No,Neutral,Not Discussed
CE0301,15-05-2025,No,Neutral,Not Discussed
SG5316,16-05-2025,No,Satisfied,Not Discussed
IL4604,19-05-2025,No,Neutral,Not Discussed
IJ5235,17-05-2025,No,Satisfied,90
AO2621,10-06-2025,No,Neutral,Not Discussed
IB3282,16-05-2025,No,Dissatisfied,60
BU2786,10-06-2025,No,Dissatisfied,20
QL6777,21-05-2025,No,Satisfied,85
WA1881,28-05-2025,Yes,Neutral,50
FV6450,16-05-2025,No,Neutral,80
EV9158,02-06-2025,No,Satisfied,Not Discussed
KD1018,15-05-2025,No,Satisfied,Not Discussed
MO7475,05-06-2025,No,Neutral,Not Discussed
NH2826,16-05-2025,No,Satisfied,90
IG7176,31-05-2025,No,Satisfied,Not Discussed
GS3160,23-05-2025,No,Not Discussed,Not Discussed
AZ4409,07-06-2025,Unknown,Not Discussed,Not Discussed
IL0853,12-05-2025,No,Satisfied,Not Discussed
EC8121,20-05-2025,No,Satisfied,Not Discussed
AI8191,19-05-2025,No,Satisfied,85
TQ2636,06-06-2025,No,Satisfied,Not Discussed
QA9222,28-05-2025,No,Neutral,Not Discussed
LQ8247,03-06-2025,No,Satisfied,Not Discussed
PO8040,21-05-2025,No,Satisfied,Not Discussed
YL7484,17-05-2025,No,Dissatisfied,40
TR3260,09-05-2025,No,Satisfied,Not Discussed
DZ3365,25-05-2025,No,Satisfied,Not Discussed
FH2311,14-05-2025,No,Satisfied,Not Discussed
WD3870,12-05-2025,Yes,Satisfied,80
HD2471,06-06-2025,No,Satisfied,Not Discussed
EF4871,03-06-2025,No,Satisfied,Not Discussed
RY4440,29-05-2025,Yes,Dissatisfied,20
IU6858,11-05-2025,No,Satisfied,85
HW0210,12-05-2025,No,Neutral,70
QH6855,19-05-2025,Yes,Neutral,Not Discussed
EO1484,10-05-2025,No,Neutral,55
VU1008,25-05-2025,No,Satisfied,90
TR6891,28-05-2025,No,Satisfied,90
RR0526,12-05-2025,No,Satisfied,90
QC6976,28-05-2025,No,Satisfied,Not Discussed
NG1848,12-05-2025,No,Not Discussed,Not Discussed
PI5781,14-05-2025,No,Satisfied,90
AF4359,14-05-2025,No,Satisfied,90
IO8188,02-06-2025,No,Neutral,Not Discussed
NR1522,24-05-2025,No,Satisfied,Not Discussed
JA6608,13-05-2025,No,Neutral,Not Discussed
UV2107,30-05-2025,No,Not Discussed,Not Discussed
NW4111,31-05-2025,No,Neutral,Not Discussed
FP9833,05-06-2025,No,Satisfied,Not Discussed
HK1702,07-05-2025,No,Neutral,Not Discussed
DK8647,30-05-2025,No,Neutral,Not Discussed
XM9309,30-04-2025,No,Neutral,Not Discussed
LZ6666,25-05-2025,No,Satisfied,80
VG0703,23-05-2025,No,Satisfied,Not Discussed
CX1283,20-05-2025,No,Dissatisfied,20
EQ0603,03-05-2025,No,Satisfied,90
OY7364,02-05-2025,No,Neutral,80
LR9347,02-05-2025,No,Neutral,Not Discussed
YX1394,31-05-2025,No,Neutral,Not Discussed
PP7122,23-05-2025,No,Neutral,Not Discussed
XQ9989,12-05-2025,No,Satisfied,Not Discussed
HW9635,06-05-2025,No,Neutral,Not Discussed
MR1094,13-05-2025,No,Satisfied,Not Discussed
MV5953,09-05-2025,No,Satisfied,80
XT0856,29-04-2025,No,Not Discussed,Not Discussed
CR0615,13-05-2025,No,Dissatisfied,Not Discussed
CS2049,15-05-2025,No,Satisfied,Not Discussed
MP0210,15-05-2025,No,Satisfied,Not Discussed
DV8338,14-05-2025,No,Neutral,Not Discussed
KG7288,20-05-2025,No,Satisfied,90
RQ9605,18-05-2025,No,Satisfied,80
HI4307,30-04-2025,Yes,Neutral,80
ZZ6760,15-05-2025,No,Satisfied,Not Discussed
CF7747,29-05-2025,No,Satisfied,90
DJ1022,14-05-2025,No,Dissatisfied,30
NA1000,25-05-2025,No,Neutral,Not Discussed
KD3302,14-05-2025,No,Satisfied,Not Discussed
NW6377,07-05-2025,No,Neutral,Not Discussed
QH6275,08-05-2025,No,Neutral,80
LQ8499,12-05-2025,No,Satisfied,Not Discussed
UD6890,05-05-2025,No,Satisfied,90
YA8318,13-05-2025,No,Satisfied,70
HH9232,28-05-2025,No,Satisfied,Not Discussed
RT1850,15-05-2025,No,Neutral,Not Discussed
XB1398,25-05-2025,No,Neutral,Not Discussed
LP3418,18-05-2025,No,Satisfied,Not Discussed
JE4733,23-05-2025,No,Neutral,Not Discussed
WI2820,19-05-2025,No,Satisfied,Not Discussed
EZ0430,17-05-2025,No,Dissatisfied,20
SS5776,03-05-2025,No,Satisfied,Not Discussed
CJ6652,09-05-2025,No,Satisfied,Not Discussed
AZ8674,10-05-2025,Yes,Dissatisfied,20
RI1060,07-05-2025,No,Satisfied,90
YR5716,14-05-2025,No,Not Discussed,Not Discussed
YI6465,09-05-2025,No,Dissatisfied,80
TC3587,30-04-2025,No,Satisfied,Not Discussed
DR6212,01-05-2025,No,Satisfied,Not Discussed
CI6316,17-05-2025,No,Satisfied,Not Discussed
DO0858,24-05-2025,No,Satisfied,Not Discussed
GV1919,28-04-2025,No,Neutral,Not Discussed
ST5803,04-05-2025,No,Neutral,Not Discussed
NJ3620,11-05-2025,Yes,Satisfied,90
GD1946,18-05-2025,No,Satisfied,100
PA8404,26-04-2025,No,Satisfied,Not Discussed
YJ0480,05-05-2025,Unknown,Neutral,Not Discussed
BC2811,03-05-2025,No,Dissatisfied,60
FX1724,15-05-2025,No,Satisfied,Not Discussed
TD3457,11-05-2025,No,Satisfied,Not Discussed
JD3863,07-05-2025,No,Neutral,Not Discussed
YP6889,05-05-2025,No,Satisfied,Not Discussed
LG2492,19-05-2025,No,Satisfied,90
MJ3576,09-05-2025,No,Neutral,Not Discussed
SS5907,28-04-2025,No,Satisfied,90
PQ6691,30-04-2025,No,Neutral,Not Discussed
EM6963,22-05-2025,No,Satisfied,Not Discussed
YW5803,04-05-2025,No,Neutral,Not Discussed
FB5688,13-05-2025,Yes,Neutral,80
KV2286,21-05-2025,No,Satisfied,90
WW2000,03-05-2025,No,Neutral,Not Discussed
CX5824,14-05-2025,No,Neutral,Not Discussed
JG9943,18-05-2025,No,Satisfied,Not Discussed
IL6622,28-04-2025,No,Satisfied,Not Discussed
HO5297,23-04-2025,No,Satisfied,90
HA0091,05-05-2025,No,Neutral,Not Discussed
WS5911,29-04-2025,No,Satisfied,80
FH0587,22-04-2025,No,Satisfied,Not Discussed
HD7136,22-05-2025,No,Satisfied,90
ZN6108,16-05-2025,No,Neutral,Not Discussed
SD9772,22-05-2025,No,Satisfied,Not Discussed
