Co_Ref,Prospect_Renewal_Date,Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors
DP8620,2024-08-08,Won,No,No,No
DP8999,2025-08-24,Won,No,No,No
DP9013,2025-10-03,Won,No,No,No
DP9376,2024-04-29,Won,No,No,No
DP9409,2025-05-20,Won,No,Yes,Yes
DP9491,2025-10-04,Won,No,No,No
DQ0201,2024-07-06,Won,No,Yes,No
DQ0764,2025-06-12,Won,No,Yes,No
DQ0929,2024-08-01,Won,No,Yes,No
DQ0943,2026-01-20,Won,No,No,No
DQ1288,2025-05-28,Won,No,No,No
DQ2005,2024-10-28,Won,No,Yes,No
DQ2005,2025-10-28,Won,No,Yes,No
DQ2244,2025-07-07,Won,No,Yes,No
DQ2261,2025-10-14,Won,No,Yes,No
DQ2354,2024-10-24,Won,No,No,No
DQ2483,2026-02-06,Won,No,Yes,No
DQ3064,2024-05-27,Churned,No,No,No
DQ4023,2025-03-12,Won,No,No,No
DQ4197,2025-09-15,Won,No,Yes,No
DQ4262,2025-03-12,Won,No,Yes,No
DQ4647,2025-03-25,Won,No,No,No
DQ4740,2024-06-30,Won,No,No,No
DQ4740,2025-06-30,Won,No,No,No
DQ4749,2024-10-12,Churned,No,No,No
DQ4796,2025-12-08,Won,No,No,No
DQ5547,2025-01-09,Won,No,No,No
DQ5547,2026-01-09,Won,No,Yes,No
DQ5597,2024-06-07,Won,No,No,No
DQ5597,2025-06-07,Won,No,No,No
DQ5603,2025-09-23,Won,No,No,No
DQ6230,2024-10-11,Won,No,No,No
DQ7465,2024-10-13,Won,No,Yes,No
DQ7502,2025-01-02,Won,No,Yes,No
DQ7502,2026-01-02,Won,No,No,No
DQ8700,2024-07-12,Churned,No,No,No
DQ8746,2026-01-03,Won,No,No,No
DQ8936,2024-10-04,Won,No,No,No
DQ9129,2025-02-27,Won,No,No,No
DQ9129,2026-02-27,Won,No,No,No
DQ9236,2026-01-11,Won,No,No,No
DR0370,2024-09-02,Won,No,No,No
DR0482,2024-09-08,Churned,No,Yes,No
DR1100,2024-05-19,Won,No,No,No
DR1100,2025-05-19,Won,No,No,No
DR1856,2026-02-06,Won,No,No,No
DR2282,2024-07-25,Won,No,No,No
DR3583,2024-12-31,Won,No,No,No
DR4061,2025-03-13,Won,No,No,No
DR4618,2024-11-26,Won,No,No,No
DR4618,2025-11-26,Won,Yes,Yes,No
DR4856,2025-03-05,Won,No,No,No
DR4856,2026-03-05,Won,No,No,No
DR4993,2024-06-30,Won,No,Yes,Yes
DR4993,2025-06-30,Won,No,Yes,Yes
DR5140,2026-01-09,Churned,No,No,No
DR5967,2026-02-28,Won,No,No,No
DR5982,2025-10-07,Won,No,No,No
DR6172,2025-03-16,Won,No,No,No
DR6357,2024-11-11,Won,No,No,No
DR6383,2024-05-16,Churned,No,No,No
DR6547,2025-03-13,Won,No,No,No
DR6966,2025-03-21,Churned,No,unknown,No
DR7540,2024-05-07,Won,No,No,No
DR7619,2025-01-13,Won,No,No,No
DR7619,2026-01-13,Won,No,No,No
DR7680,2025-01-12,Won,No,Yes,No
DR7680,2026-01-12,Churned,No,No,No
DR7748,2024-05-31,Won,No,Yes,No
DR8069,2025-06-10,Won,No,Yes,Yes
DR8602,2025-03-27,Won,No,No,No
DR9199,2026-02-17,Won,No,No,No
DR9351,2025-07-27,Won,No,No,No
DR9691,2024-11-24,Won,No,No,No
DR9691,2025-11-24,Won,No,No,No
DR9991,2024-11-15,Won,No,No,No
DS0793,2025-03-15,Won,No,Yes,No
DS0838,2025-08-25,Won,No,Yes,No
DS1167,2024-09-29,Won,No,Yes,No
DS1507,2025-03-24,Won,No,No,No
DS2001,2024-06-30,Won,No,No,No
DS2441,2025-10-11,Churned,No,Yes,No
DS2760,2024-09-16,Won,No,No,No
DS2948,2025-06-28,Won,No,No,No
DS3090,2025-02-06,Won,No,No,No
DS3169,2025-02-28,Won,No,No,No
DS4577,2025-03-14,Won,No,No,No
DS4577,2026-03-14,Won,No,No,No
DS4875,2026-01-20,Won,No,No,No
DS4949,2025-06-06,Won,No,No,No
DS5064,2024-11-30,Churned,No,Yes,No
DS5169,2024-10-06,Won,No,No,No
DS5169,2025-10-06,Won,No,No,No
DS5509,2024-05-31,Won,No,No,No
DS5533,2025-06-30,Won,No,No,No
DS5905,2025-06-03,Won,No,No,No
DS6052,2024-06-27,Won,No,No,No
DS6489,2025-03-14,Won,No,No,No
DS6542,2026-01-30,Won,No,No,No
DS6728,2024-07-08,Won,No,No,No
DS6861,2024-11-03,Won,No,No,No
DS7250,2025-09-10,Churned,No,No,No
DS8401,2025-03-17,Won,No,No,No
DS8627,2024-05-18,Churned,No,No,No
DS8889,2025-04-16,Won,No,No,No
DS8911,2024-05-22,Churned,No,Yes,Yes
DS9127,2024-10-17,Won,No,No,No
DS9332,2024-07-02,Won,No,No,No
DS9422,2024-11-16,Won,No,No,No
DS9422,2025-11-16,Won,No,No,No
DS9596,2025-03-17,Won,No,No,No
DS9729,2024-06-28,Won,No,No,No
DT0191,2024-05-31,Won,No,No,No
DT0313,2025-03-18,Won,No,No,No
DT0703,2024-07-30,Won,No,No,No
DT1320,2025-07-10,Won,No,No,No
DT1517,2024-07-10,Churned,Yes,No,No
DT1920,2025-04-08,Won,No,unknown,No
DT2225,2025-03-17,Won,No,No,No
DT2473,2024-08-31,Won,No,Yes,No
DT2485,2026-02-17,Won,No,Yes,No
DT3250,2025-01-17,Won,No,Yes,No
DT3472,2024-06-27,Won,No,No,No
DT3472,2025-06-27,Won,No,No,No
DT3668,2024-10-13,Won,No,No,No
DT3907,2025-10-14,Won,No,No,No
DT4270,2024-06-18,Won,No,No,No
DT4946,2025-02-11,Won,No,No,No
DT4946,2026-02-11,Won,No,No,No
DT5226,2025-09-04,Won,No,No,No
DT5465,2025-06-18,Won,No,No,No
DT6987,2025-01-19,Won,No,Yes,Yes
DT7212,2026-01-31,Churned,No,No,No
DT7731,2024-10-14,Won,Yes,Yes,No
DT7855,2025-08-11,Won,No,No,No
DT8223,2025-10-24,Won,No,No,No
DT8847,2025-01-24,Won,No,No,No
DT9882,2025-02-01,Won,No,No,No
DU0015,2025-03-18,Won,No,No,No
DU0056,2024-09-20,Churned,Yes,Yes,Yes
DU0106,2025-01-02,Won,No,Yes,No
DU0149,2024-09-05,Won,No,Yes,No
DU1316,2024-10-17,Won,No,No,No
DU1679,2025-09-22,Won,No,No,No
DU1737,2025-06-20,Churned,No,Yes,No
DU1952,2026-02-28,Won,No,No,No
DU2017,2025-03-16,Won,No,No,No
DU2263,2025-06-26,Won,No,No,No
DU3403,2025-01-19,Won,No,Yes,No
DU4011,2025-03-16,Won,No,No,No
DU4069,2024-09-22,Won,No,No,No
DU4232,2025-10-07,Churned,No,No,No
DU4783,2025-02-17,Won,No,No,No
DU4976,2025-04-09,Won,No,unknown,No
DU5140,2024-10-18,Won,No,No,No
DU5726,2024-07-23,Won,No,No,No
DU6220,2025-03-12,Won,No,No,No
DU6290,2025-08-19,Won,No,No,No
DU6388,2025-04-05,Won,No,unknown,No
DU6478,2024-06-04,Won,No,No,No
DU6927,2024-10-28,Won,No,Yes,No
DU6994,2025-11-10,Won,No,No,No
DU7291,2024-10-18,Won,No,No,No
DU7521,2025-04-02,Won,No,unknown,No
DU7893,2024-12-17,Won,No,No,No
DU7893,2025-12-17,Won,No,No,No
DU8184,2026-02-26,Won,No,No,No
DU8535,2025-08-13,Won,No,No,No
DU8536,2025-04-04,Won,No,unknown,No
DU8551,2024-11-17,Won,No,Yes,No
DU8551,2025-11-17,Won,No,No,No
DU8595,2025-03-30,Won,No,Yes,No
DU8610,2025-10-07,Won,No,Yes,No
DU8774,2024-06-03,Won,Yes,Yes,Yes
DU9122,2024-06-20,Won,No,Yes,No
DU9158,2024-10-30,Won,No,No,No
DU9657,2024-06-07,Won,No,No,No
DU9673,2025-02-05,Won,No,No,No
DU9850,2025-10-05,Won,No,No,No
DV0320,2024-11-28,Churned,No,No,No
DV0522,2024-12-15,Won,No,No,No
DV0522,2025-12-15,Won,No,No,No
DV0545,2025-10-12,Churned,No,No,No
DV0761,2026-03-24,Won,No,Yes,No
DV1089,2024-11-12,Won,No,No,No
DV1478,2025-03-25,Won,No,No,No
DV1956,2025-03-31,Won,No,No,No
DV2286,2026-03-02,Won,No,Yes,No
DV2320,2025-05-10,Won,No,No,No
DV2379,2025-04-13,Won,No,No,Yes
DV2454,2024-07-26,Won,No,No,No
DV2509,2024-07-13,Won,No,Yes,No
DV2912,2024-06-06,Won,No,No,Yes
DV2912,2025-06-06,Won,No,No,Yes
DV3076,2024-07-25,Won,No,No,No
DV3076,2025-07-25,Churned,No,No,No
DV3629,2025-01-22,Won,No,No,No
DV3874,2026-02-13,Churned,No,Yes,No
DV3902,2025-03-31,Won,No,unknown,No
DV4028,2025-04-19,Won,Yes,Yes,No
DV4120,2025-11-20,Won,No,No,No
DV4452,2025-09-20,Won,No,No,No
DV4517,2024-07-17,Won,No,Yes,No
DV4955,2025-07-31,Won,No,No,No
DV5314,2025-04-08,Won,No,unknown,Yes
DV5616,2024-10-11,Churned,No,No,No
DV5780,2025-11-28,Churned,No,No,No
DV6059,2025-12-18,Won,No,No,No
DV6248,2025-02-04,Won,No,No,No
DV6689,2025-02-19,Churned,No,Yes,Yes
DV6905,2024-11-24,Churned,No,No,No
DV7435,2025-06-21,Won,No,Yes,No
DV8092,2024-06-05,Won,No,No,No
DV8173,2024-06-25,Won,No,No,No
DV8276,2025-05-06,Won,No,No,No
DV8338,2025-05-14,Won,No,Yes,No
DV8369,2024-11-23,Won,No,No,No
DV8640,2026-01-09,Churned,No,Yes,Yes
DV8730,2026-02-24,Won,Yes,Yes,No
DV9309,2025-07-12,Won,No,No,No
DV9498,2024-05-10,Churned,unknown,Yes,Yes
DV9705,2025-05-02,Won,No,No,No
DW0321,2025-05-07,Won,No,No,No
DW0626,2024-11-17,Won,No,Yes,Yes
DW0665,2024-11-10,Won,No,No,No
DW0947,2025-12-12,Won,No,No,No
DW2027,2026-02-13,Churned,No,No,No
DW2173,2024-12-20,Won,No,No,No
DW2173,2025-12-20,Won,No,No,No
DW3598,2024-10-10,Won,No,No,No
DW3667,2026-03-04,Won,Yes,Yes,Yes
DW3763,2025-09-24,Won,No,Yes,No
DW3941,2025-03-17,Won,No,No,No
DW4364,2024-08-22,Churned,No,No,No
DW4385,2025-10-10,Won,No,Yes,No
DW4585,2025-05-01,Won,No,No,No
DW5106,2025-08-29,Won,No,No,No
DW5234,2024-08-01,Won,No,No,No
DW5234,2025-08-01,Won,No,No,No
DW5536,2025-05-13,Won,No,No,No
DW6672,2026-03-02,Won,No,No,No
DW7140,2025-01-12,Won,No,No,No
DW7603,2025-03-03,Won,No,No,No
DW7603,2026-03-03,Won,No,No,No
DW7763,2025-12-11,Won,No,No,No
DW7969,2024-05-28,Churned,No,No,No
DW8448,2024-08-21,Won,No,No,No
DW8448,2025-08-21,Won,No,No,No
DW9296,2024-11-30,Won,No,No,No
DW9296,2025-11-30,Won,No,No,No
DX0652,2025-07-23,Won,No,No,No
DX0864,2025-07-06,Won,No,No,No
DX1076,2024-08-16,Won,No,Yes,Yes
DX1430,2025-10-23,Won,No,No,Yes
DX1626,2024-10-24,Won,No,Yes,Yes
DX1645,2024-11-07,Won,No,No,Yes
DX1660,2024-04-29,Won,No,No,No
DX2156,2024-10-25,Won,No,unknown,No
DX2356,2025-10-26,Won,No,Yes,No
DX2616,2026-03-19,Won,No,No,No
DX2749,2024-05-23,Won,No,No,No
DX2988,2025-06-26,Won,No,No,No
DX3948,2024-11-09,Won,No,No,No
DX5659,2025-10-22,Won,No,No,No
DX5660,2025-09-05,Won,No,No,No
DX6440,2024-09-25,Won,No,Yes,No
DX6524,2024-07-14,Won,No,Yes,No
DX6623,2025-11-17,Churned,No,No,No
DX7051,2024-07-23,Won,No,No,No
DX7051,2025-07-23,Won,Yes,Yes,No
DX8007,2024-12-18,Won,No,No,No
DX8252,2025-05-27,Won,No,No,No
DX8445,2025-07-07,Won,No,No,No
DX8914,2024-08-29,Won,No,No,No
DX8963,2024-09-16,Won,No,No,No
DX9680,2026-03-13,Won,No,No,No
DX9795,2024-06-30,Won,No,No,No
DY0221,2024-08-05,Won,No,No,No
DY0397,2025-10-09,Won,No,Yes,No
DY0961,2024-12-20,Won,No,No,No
DY1029,2025-01-24,Won,No,No,No
DY1399,2025-04-28,Won,No,No,No
DY1484,2025-03-13,Won,No,No,No
DY1698,2025-05-25,Won,No,No,No
DY1794,2025-03-13,Won,No,No,No
DY2796,2024-06-16,Won,No,No,No
DY2796,2025-06-16,Won,No,No,No
DY2999,2025-01-24,Won,No,No,No
DY2999,2026-01-24,Won,No,No,No
DY3743,2024-11-03,Won,No,No,No
DY4072,2025-03-03,Won,No,No,No
DY4250,2024-08-31,Won,unknown,No,No
DY4680,2025-10-05,Churned,No,Yes,No
DY4827,2024-06-03,Churned,No,No,No
DY4920,2025-05-20,Won,No,Yes,No
DY5211,2024-12-06,Churned,No,unknown,No
DY5740,2026-01-29,Won,No,No,No
DY5936,2024-11-16,Churned,No,No,No
DY7072,2025-05-07,Won,No,No,No
DY7751,2025-04-18,Won,No,No,No
DY8078,2024-05-25,Won,No,Yes,No
DY8425,2025-03-01,Won,No,No,No
DY8606,2025-02-15,Won,No,No,No
DY8606,2026-02-15,Won,No,Yes,Yes
DY9137,2024-07-29,Won,No,No,No
DY9384,2025-12-11,Churned,No,Yes,No
DY9388,2024-05-30,Won,No,Yes,No
DY9388,2025-05-30,Won,No,No,No
DZ0205,2024-10-30,Won,No,Yes,No
DZ0205,2025-10-30,Won,No,No,No
DZ0893,2025-05-02,Won,No,No,No
DZ0913,2025-01-05,Won,No,No,No
DZ1032,2024-06-24,Churned,No,No,No
DZ1639,2024-12-12,Won,No,No,No
DZ1707,2025-08-14,Won,No,No,No
DZ1917,2024-10-23,Won,No,No,No
DZ2223,2025-01-15,Won,No,No,No
DZ2462,2025-10-24,Won,No,No,No
DZ2493,2024-10-17,Won,Yes,Yes,No
DZ2626,2024-06-07,Won,No,No,No
DZ2834,2024-12-09,Won,No,No,No
DZ3168,2025-07-12,Won,No,No,No
DZ3781,2025-02-25,Churned,No,No,No
DZ4631,2024-05-08,Won,No,No,No
DZ4631,2025-05-08,Won,No,No,Yes
DZ5077,2025-03-10,Won,No,No,No
DZ5663,2024-07-10,Churned,No,No,No
DZ5789,2024-06-15,Won,No,No,No
DZ5789,2025-06-15,Won,No,No,No
DZ6286,2025-10-27,Won,No,No,No
DZ6380,2026-02-19,Won,No,No,No
DZ6410,2025-02-05,Won,No,No,No
DZ6511,2026-02-21,Churned,No,No,No
DZ6516,2025-04-01,Won,No,unknown,No
DZ6899,2025-08-27,Won,No,No,No
DZ6907,2025-09-24,Won,No,No,No
DZ6924,2025-03-19,Won,No,No,No
DZ7118,2024-07-26,Won,No,No,No
DZ7233,2025-03-20,Won,No,No,No
DZ7422,2025-02-07,Won,No,No,No
DZ7605,2025-02-12,Won,No,No,No
DZ8782,2025-08-24,Won,No,No,No
DZ9384,2025-03-20,Won,No,No,No
DZ9443,2024-08-09,Won,No,No,No
EA0052,2024-10-20,Won,No,unknown,No
EA0579,2025-01-28,Won,Yes,Yes,No
EA0579,2026-01-28,Won,No,No,No
EA1066,2025-03-10,Won,No,No,No
EA1066,2026-03-10,Won,No,No,No
EA1429,2025-10-09,Won,No,No,No
EA2708,2025-04-04,Won,No,unknown,No
EA3046,2025-11-13,Churned,Yes,Yes,No
EA3101,2025-07-16,Won,No,No,No
EA3208,2025-03-21,Won,No,No,Yes
EA3396,2025-12-03,Won,No,No,No
EA4881,2025-03-24,Won,No,No,No
EA4961,2025-02-11,Won,No,No,No
EA5046,2024-05-04,Won,No,No,No
EA5046,2025-05-04,Won,No,No,No
EA5970,2025-05-19,Won,No,No,No
EA6124,2024-12-15,Won,No,Yes,No
EA6124,2025-12-15,Won,No,Yes,Yes
EA6209,2024-08-09,Won,No,No,No
EA6308,2024-09-30,Won,No,No,No
EA6456,2024-09-04,Won,No,No,No
EA6791,2025-09-04,Won,No,No,No
EA7643,2024-10-14,Won,No,No,No
EA7643,2025-10-14,Won,No,No,No
EA7757,2024-10-27,Won,No,No,No
EA7758,2025-12-09,Won,No,No,No
EA8360,2025-02-19,Won,No,No,No
EA8433,2025-07-16,Won,No,No,No
EA8469,2025-08-30,Won,No,No,No
EA8797,2025-03-15,Churned,No,No,No
EA9183,2024-06-20,Won,No,No,No
EA9361,2025-11-07,Won,No,No,No
EA9431,2024-11-29,Won,No,No,No
EA9548,2025-09-26,Churned,Yes,No,No
EA9555,2025-03-05,Won,No,No,No
EA9555,2026-03-05,Won,No,No,No
EB0378,2025-03-24,Won,No,No,No
EB0518,2025-10-20,Won,No,Yes,No
EB2772,2024-07-31,Won,No,Yes,No
EB3107,2024-11-22,Churned,No,No,No
EB4171,2025-06-03,Won,No,No,No
EB4367,2026-01-25,Won,No,No,No
EB4495,2025-03-25,Won,No,No,No
EB4574,2024-05-14,Won,No,No,No
EB4574,2025-05-14,Won,No,No,No
EB4822,2024-04-28,Won,No,No,No
EB5636,2025-03-25,Won,No,No,No
EB6033,2024-11-17,Won,No,Yes,No
EB6033,2025-11-17,Won,No,No,No
EB6096,2025-03-28,Won,No,No,No
EB6291,2025-01-24,Won,No,No,No
EB6291,2026-01-24,Won,No,No,No
EB6422,2025-01-24,Won,No,No,Yes
EB6486,2025-01-13,Won,No,No,No
EB6833,2024-08-04,Won,No,No,No
EB7440,2025-05-09,Won,No,No,No
EB7600,2025-01-21,Won,No,No,No
EB7690,2025-05-16,Won,No,No,No
EB8185,2024-08-01,Won,No,No,No
EB8185,2025-08-01,Won,No,No,No
EB8211,2024-05-17,Won,No,No,No
EB8757,2025-10-28,Won,No,Yes,Yes
EB8821,2024-12-13,Won,No,No,No
EB9204,2025-03-11,Won,No,Yes,No
EB9253,2026-01-04,Won,No,No,No
EB9354,2024-08-02,Won,No,No,Yes
EB9354,2025-08-02,Churned,No,No,No
EB9384,2024-06-02,Won,No,No,No
EC0788,2025-06-18,Won,No,No,No
EC0894,2025-03-26,Won,No,No,No
EC1266,2024-10-16,Won,No,No,No
EC2089,2025-03-28,Won,No,No,No
EC2731,2025-07-30,Won,No,No,Yes
EC2967,2025-04-15,Won,No,unknown,No
EC3656,2026-03-07,Won,No,No,No
EC3736,2024-07-18,Won,No,No,No
EC3863,2025-03-27,Won,Yes,unknown,No
EC3908,2024-12-14,Churned,No,Yes,No
EC4091,2025-10-09,Won,No,No,No
EC4596,2025-03-09,Churned,No,No,No
EC4623,2024-08-23,Churned,Yes,No,No
EC5191,2025-03-26,Won,No,unknown,No
EC5674,2025-03-27,Won,No,No,No
EC6016,2024-10-02,Won,No,No,No
EC6016,2025-10-02,Won,No,Yes,No
EC6498,2024-05-20,Won,No,No,No
EC6833,2025-10-09,Won,No,No,No
EC7710,2024-06-27,Won,No,No,No
EC7710,2025-06-27,Won,No,No,No
EC7873,2025-02-13,Won,No,No,No
EC8121,2024-05-20,Won,No,No,No
EC8121,2025-05-20,Won,No,No,No
EC8393,2024-07-10,Won,No,No,No
EC9445,2024-07-29,Won,No,Yes,No
EC9746,2025-11-18,Won,No,No,No
ED0207,2025-02-13,Won,No,No,No
ED0207,2026-02-13,Churned,Yes,Yes,No
ED0224,2025-01-06,Won,No,Yes,Yes
ED0224,2026-01-06,Won,No,Yes,Yes
ED0702,2024-12-13,Won,No,Yes,No
ED1180,2025-11-17,Won,No,Yes,No
ED1543,2024-07-31,Won,No,No,No
ED1744,2026-01-23,Won,No,No,Yes
ED1879,2024-11-11,Won,No,No,No
ED1879,2025-11-11,Won,No,No,No
ED2499,2024-09-29,Won,unknown,Yes,No
ED2853,2024-12-14,Won,No,No,No
ED2853,2025-12-14,Won,No,No,No
ED4744,2025-04-11,Won,No,unknown,No
ED5099,2025-03-31,Won,No,No,No
ED5399,2024-06-29,Won,No,No,No
ED5399,2025-06-29,Won,No,No,No
ED5514,2025-06-15,Won,No,No,No
ED6061,2025-10-12,Churned,No,No,No
ED6456,2025-06-07,Won,No,Yes,Yes
ED6660,2025-11-01,Won,No,No,No
ED6907,2025-04-01,Won,No,unknown,No
ED7485,2025-10-23,Won,No,Yes,No
ED8713,2025-04-30,Won,No,No,No
ED9683,2025-02-21,Won,No,Yes,No
ED9683,2026-02-21,Won,No,No,No
ED9804,2025-07-25,Won,No,No,No
EE1209,2024-06-07,Churned,No,No,No
EE1362,2024-06-07,Won,No,Yes,No
EE1550,2024-09-29,Won,No,unknown,No
EE1632,2025-06-17,Won,No,No,No
EE1990,2024-06-13,Won,No,No,No
EE1990,2025-06-13,Won,No,No,No
EE2165,2025-04-01,Won,Yes,Yes,Yes
EE2174,2025-03-02,Won,No,No,No
EE2695,2025-06-01,Churned,No,No,No
EE2891,2024-11-29,Won,No,Yes,No
EE2891,2025-11-29,Won,No,No,No
EE3279,2024-06-06,Won,No,No,No
EE3279,2025-06-06,Churned,No,No,No
EE3571,2025-01-16,Won,No,No,No
EE3730,2024-11-05,Won,No,No,No
EE5108,2025-07-03,Won,No,No,No
EE6476,2024-11-23,Won,No,No,No
EE6476,2025-11-23,Won,No,No,No
EE6710,2025-01-04,Won,No,No,No
EE6999,2024-11-03,Churned,No,No,No
EE7340,2024-06-21,Won,No,No,No
EE7690,2024-10-06,Won,No,No,No
EE7863,2025-11-03,Won,No,No,No
EE7901,2025-07-11,Won,No,No,No
EE7918,2026-01-29,Won,No,No,No
EE8114,2024-07-14,Won,No,No,No
EE8114,2025-07-14,Won,Yes,Yes,No
EE8140,2025-04-04,Churned,No,unknown,No
EE8274,2024-07-24,Won,No,No,No
EE8274,2025-07-24,Won,No,No,No
EE8276,2025-04-15,Won,No,unknown,No
EE8309,2025-03-08,Won,No,No,No
EE8379,2025-04-10,Churned,Yes,unknown,No
EE9311,2024-11-21,Won,No,No,No
EE9583,2024-08-03,Won,No,No,No
EE9707,2024-08-19,Won,No,Yes,No
EE9998,2024-06-11,Won,No,No,No
EF0419,2025-02-03,Won,No,No,Yes
EF0476,2025-04-05,Won,No,unknown,No
EF0539,2024-12-09,Won,No,No,No
EF0962,2025-05-03,Won,No,No,No
EF1100,2025-07-18,Won,No,No,No
EF1671,2025-02-24,Won,No,No,No
EF3497,2025-03-27,Won,No,No,No
EF4072,2025-04-15,Won,No,No,No
EF4609,2026-01-05,Won,No,No,No
EF4871,2025-06-03,Won,No,No,No
EF4965,2024-10-31,Won,No,No,No
EF6068,2026-01-06,Won,No,No,No
EF6170,2025-02-15,Won,No,No,No
EF6170,2026-02-15,Won,No,No,No
EF6514,2025-11-18,Won,No,No,No
EF6877,2025-03-10,Won,No,No,No
EF7410,2025-02-13,Won,No,No,No
EF7524,2025-01-04,Won,No,No,No
EF7524,2026-01-04,Won,No,No,No
EF7709,2024-11-25,Won,No,No,No
EF8187,2024-12-06,Won,No,No,No
EF8665,2025-07-18,Won,No,No,No
EF9424,2024-07-28,Won,No,No,No
EF9424,2025-07-28,Won,No,No,No
EF9616,2025-11-18,Won,No,No,No
EF9827,2025-03-15,Won,No,No,No
EF9839,2025-06-01,Won,Yes,Yes,Yes
EG0424,2025-01-31,Churned,No,No,No
EG0438,2024-06-26,Won,No,No,No
EG0438,2025-06-26,Won,No,No,No
EG0477,2025-01-06,Won,No,No,No
EG0701,2024-06-06,Won,No,Yes,No
EG1306,2024-06-18,Won,No,No,No
EG1306,2025-06-18,Won,No,No,No
EG1533,2025-10-27,Churned,No,No,No
EG1572,2026-03-05,Won,No,Yes,Yes
EG1741,2024-10-11,Won,No,No,No
EG1855,2025-03-13,Won,No,No,No
EG3510,2025-11-03,Won,No,No,No
EG3923,2024-12-18,Won,No,No,No
EG3923,2025-12-18,Won,No,No,No
EG5618,2026-01-08,Won,No,No,No
EG6478,2025-02-15,Won,No,No,No
EG6874,2024-12-04,Won,No,Yes,No
EG6915,2025-03-09,Won,No,No,No
EG7287,2025-03-12,Won,No,No,No
EG7565,2025-06-08,Won,No,No,No
EG8153,2024-08-20,Won,No,No,No
EG8361,2025-02-12,Churned,No,No,No
EG8827,2024-05-11,Won,No,No,No
EH0164,2025-04-13,Won,No,unknown,No
EH0793,2025-01-05,Won,No,No,No
EH1176,2024-09-02,Won,No,No,No
EH2890,2024-12-14,Won,No,No,Yes
EH2899,2025-03-01,Won,No,No,No
EH2899,2026-03-01,Won,No,No,No
EH3293,2024-05-14,Won,No,No,No
EH3368,2025-02-08,Won,No,No,No
EH3512,2024-09-20,Won,No,No,No
EH4073,2024-10-11,Won,No,No,No
EH4457,2025-01-27,Won,No,No,No
EH4672,2025-04-30,Won,No,No,No
EH6394,2024-08-02,Won,No,No,No
EH6424,2025-03-02,Won,No,No,No
EH6424,2026-03-02,Won,No,No,No
EH6592,2024-11-05,Won,No,No,No
EH6592,2025-11-05,Won,No,Yes,No
EH6953,2024-10-22,Won,No,No,No
EH7356,2025-03-06,Won,No,Yes,No
EH7356,2026-03-06,Churned,No,Yes,No
EH7382,2024-11-04,Won,No,No,No
EH7785,2025-03-26,Won,No,Yes,No
EH7918,2024-06-05,Won,No,No,No
EH8229,2025-04-09,Won,No,unknown,Yes
EH9000,2025-06-29,Won,No,No,No
EH9014,2026-01-09,Won,No,No,No
EH9821,2024-04-29,Won,No,No,No
EH9821,2025-04-29,Won,No,No,No
EI0186,2025-02-08,Won,No,No,No
EI0653,2024-10-27,Won,No,No,No
EI0653,2025-10-27,Won,No,No,No
EI0777,2024-08-16,Churned,No,No,No
EI1610,2024-05-19,Won,No,No,No
EI1610,2025-05-19,Won,No,No,No
EI1798,2024-11-29,Won,No,No,No
EI2005,2025-04-22,Won,No,No,No
EI2547,2024-07-12,Won,No,No,No
EI3406,2024-06-30,Won,No,Yes,No
EI3406,2025-06-30,Won,No,No,No
EI4362,2024-07-18,Won,No,No,No
EI4362,2025-07-18,Won,No,No,No
EI4381,2025-01-16,Won,No,No,No
EI4942,2025-02-09,Won,unknown,No,No
EI4942,2026-02-09,Won,No,No,No
EI5796,2025-01-16,Won,No,No,No
EI5915,2024-09-20,Won,No,No,No
EI6264,2026-02-21,Won,No,No,No
EI6882,2025-10-13,Won,No,No,No
EI7483,2026-01-12,Won,No,No,No
EI7821,2024-10-30,Won,No,No,No
EI7821,2025-10-30,Won,No,No,No
EI7924,2024-09-19,Won,No,No,No
EI7947,2025-12-18,Churned,Yes,Yes,No
EI8715,2024-11-11,Won,No,No,No
EI8715,2025-11-11,Churned,No,No,No
EI8796,2024-07-23,Won,No,No,No
EJ0095,2024-11-13,Won,No,No,No
EJ0097,2024-05-03,Won,No,No,No
EJ0145,2025-04-14,Won,No,unknown,No
EJ0534,2024-09-20,Won,No,No,No
EJ0913,2025-06-02,Won,No,No,No
EJ1532,2025-07-25,Won,No,No,No
EJ1970,2025-11-10,Won,No,Yes,No
EJ2631,2025-04-20,Won,No,No,No
EJ3290,2025-08-01,Won,No,No,No
EJ3739,2024-11-26,Won,No,Yes,No
EJ3989,2024-11-10,Won,No,No,No
EJ4284,2025-11-26,Won,No,No,No
EJ4424,2026-01-27,Won,No,No,No
EJ4832,2025-01-06,Won,No,No,No
EJ4832,2026-01-06,Won,No,No,No
EJ5301,2024-05-04,Won,No,No,Yes
EJ6317,2025-01-19,Won,No,No,No
EJ8982,2025-11-12,Won,No,No,No
EJ9074,2025-01-31,Churned,No,Yes,No
EJ9597,2025-07-07,Won,No,No,No
EK0853,2025-08-25,Won,No,No,No
EK1170,2025-08-07,Won,No,No,No
EK1530,2024-06-29,Won,No,Yes,No
EK1643,2025-04-23,Won,No,No,No
EK1809,2024-09-18,Won,No,No,No
EK1809,2025-09-18,Won,No,No,No
EK2029,2024-05-19,Won,No,No,No
